category,answer,pred,response
marketing,D,D,D
marketing,A,A,A
marketing,D,D,D
civil_engineering,D,B,B
civil_engineering,B,B,B
civil_engineering,C,C,C
civil_engineering,D,D,D
marketing,D,D,D
marketing,C,C,C
marketing,A,A,A
marketing,D,D,D
civil_engineering,D,C,C
civil_engineering,D,C,C
civil_engineering,C,B,B
civil_engineering,C,C,C
marketing,C,C,C
marketing,C,C,C
marketing,D,D,D
marketing,C,C,C
civil_engineering,B,B,B
civil_engineering,C,A,A
civil_engineering,C,C,C
civil_engineering,C,C,C
marketing,D,D,D
marketing,C,C,C
marketing,B,B,B
marketing,A,B,B
civil_engineering,B,B,B
civil_engineering,D,C,C
civil_engineering,D,B,B
civil_engineering,B,B,B
marketing,A,A,A
marketing,A,A,A
marketing,D,D,D
marketing,C,C,C
civil_engineering,D,D,D
civil_engineering,C,B,B
civil_engineering,C,C,C
civil_engineering,B,B,B
marketing,C,C,C
marketing,B,B,B
marketing,C,C,C
marketing,B,B,B
civil_engineering,C,C,C
civil_engineering,D,D,D
civil_engineering,B,C,C
civil_engineering,C,B,B
marketing,D,D,D
marketing,C,C,C
marketing,A,A,A
marketing,A,A,A
civil_engineering,D,D,D
civil_engineering,D,D,D
civil_engineering,C,C,C
civil_engineering,D,D,D
civil_engineering,B,B,B
civil_engineering,B,C,C
civil_engineering,C,C,C
civil_engineering,B,B,B
computer_science,D,D,D
computer_science,C,C,C
computer_science,C,C,C
computer_science,B,B,B
marketing,C,C,C
marketing,B,B,B
marketing,A,A,A
marketing,C,C,C
civil_engineering,D,D,D
civil_engineering,D,C,C
civil_engineering,D,B,B
civil_engineering,C,D,D
civil_engineering,C,B,B
civil_engineering,D,B,B
civil_engineering,D,B,B
civil_engineering,C,C,C
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,D,D,D
electronics_engineering,C,C,C
electronics_engineering,C,C,C
electronics_engineering,D,C,C
electronics_engineering,B,B,B
computer_science,D,D,D
computer_science,C,C,C
computer_science,C,C,C
computer_science,D,D,D
management,D,D,D
management,C,C,C
management,A,A,A
management,C,C,C
management,B,B,B
management,B,B,B
management,C,C,C
management,C,C,C
computer_science,C,C,C
computer_science,B,B,B
computer_science,B,B,B
computer_science,B,B,B
management,C,B,B
management,D,D,D
management,C,C,C
management,C,C,C
computer_science,D,D,D
computer_science,D,D,D
computer_science,D,D,D
computer_science,B,B,B
management,A,A,A
management,A,A,A
management,A,A,A
management,C,C,C
computer_science,B,D,D
computer_science,C,C,C
computer_science,B,B,B
computer_science,C,C,C
management,A,A,A
management,A,A,A
management,D,A,A
management,D,A,A
computer_science,C,C,C
computer_science,C,C,C
computer_science,D,D,D
computer_science,B,B,B
management,C,B,B
management,A,A,A
management,B,D,D
management,D,C,C
computer_science,D,D,D
computer_science,D,D,D
computer_science,B,B,B
computer_science,B,B,B
management,B,B,B
management,D,D,D
management,B,B,B
management,C,C,C
computer_science,B,B,B
computer_science,B,B,B
computer_science,C,C,C
computer_science,D,D,D
management,B,A,A
management,C,C,C
management,A,A,A
management,D,D,D
computer_science,C,C,C
computer_science,D,D,D
computer_science,C,C,C
computer_science,B,B,B
management,D,D,D
management,A,B,B
management,D,A,A
management,B,A,A
computer_science,C,C,C
computer_science,C,C,C
computer_science,C,C,C
computer_science,D,D,D
management,D,D,D
management,C,B,B
management,B,B,B
management,A,A,A
management,B,B,B
management,D,D,D
management,B,B,B
management,B,B,B
maritime_engineering,B,C,C
maritime_engineering,C,B,B
maritime_engineering,B,C,C
maritime_engineering,D,C,C
agricultural_sciences,B,B,B
agricultural_sciences,A,C,C
agricultural_sciences,A,D,D
agricultural_sciences,B,B,B
biology,B,B,B
biology,B,B,B
biology,D,B,B
biology,C,D,D
psychology,A,B,B
psychology,B,B,B
psychology,C,C,C
psychology,D,B,B
maritime_engineering,D,B,B
maritime_engineering,D,C,C
maritime_engineering,C,A,A
maritime_engineering,B,C,C
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,D,C,C
telecommunications_and_wireless_technology,D,D,D
electronics_engineering,D,D,D
electronics_engineering,B,B,B
electronics_engineering,C,B,B
electronics_engineering,D,D,D
psychology,B,A,A
psychology,B,B,B
psychology,C,C,C
psychology,B,B,B
biology,D,D,D
biology,B,C,C
biology,D,D,D
biology,D,D,D
maritime_engineering,C,D,D
maritime_engineering,D,B,B
maritime_engineering,C,C,C
maritime_engineering,B,C,C
agricultural_sciences,D,D,D
agricultural_sciences,A,B,B
agricultural_sciences,D,D,D
agricultural_sciences,A,A,A
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,B,B
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,B,B
electronics_engineering,C,C,C
electronics_engineering,B,D,D
electronics_engineering,C,C,C
electronics_engineering,B,B,B
biology,A,A,A
biology,D,B,B
biology,A,A,A
biology,D,D,D
computer_science,D,D,D
computer_science,D,D,D
computer_science,C,C,C
computer_science,B,B,B
computer_science,C,C,C
computer_science,D,D,D
computer_science,B,B,B
computer_science,D,D,D
marketing,B,B,B
marketing,D,D,D
marketing,C,C,C
marketing,B,B,B
civil_engineering,B,B,B
civil_engineering,B,B,B
civil_engineering,B,B,B
civil_engineering,B,D,D
civil_engineering,C,D,D
civil_engineering,C,B,B
civil_engineering,B,B,B
civil_engineering,D,B,B
civil_engineering,D,B,B
civil_engineering,D,D,D
civil_engineering,B,B,B
civil_engineering,C,B,B
civil_engineering,C,C,C
civil_engineering,D,D,D
civil_engineering,D,D,D
civil_engineering,B,B,B
civil_engineering,C,C,C
civil_engineering,D,C,C
civil_engineering,D,D,D
civil_engineering,B,C,C
civil_engineering,C,C,C
civil_engineering,D,B,B
civil_engineering,B,B,B
civil_engineering,B,A,A
civil_engineering,D,C,C
civil_engineering,B,B,B
civil_engineering,D,B,B
civil_engineering,C,C,C
civil_engineering,C,A,A
civil_engineering,D,D,D
civil_engineering,D,B,B
civil_engineering,D,C,C
psychology,C,C,C
psychology,C,C,C
psychology,B,B,B
psychology,C,B,B
maritime_engineering,D,D,D
maritime_engineering,D,A,A
maritime_engineering,D,C,C
maritime_engineering,D,D,D
agricultural_sciences,C,C,C
agricultural_sciences,B,B,B
agricultural_sciences,C,A,A
agricultural_sciences,B,B,B
telecommunications_and_wireless_technology,A,C,C
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,D,C,C
telecommunications_and_wireless_technology,C,A,A
electronics_engineering,B,B,B
electronics_engineering,C,C,C
electronics_engineering,D,D,D
electronics_engineering,B,B,B
biology,C,C,C
biology,C,B,B
biology,D,D,D
biology,A,A,A
psychology,B,B,B
psychology,C,C,C
psychology,A,A,A
psychology,D,D,D
telecommunications_and_wireless_technology,C,B,B
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,B,C,C
electronics_engineering,B,D,D
electronics_engineering,C,C,C
electronics_engineering,D,D,D
electronics_engineering,B,B,B
electronics_engineering,B,B,B
electronics_engineering,C,D,D
electronics_engineering,C,C,C
electronics_engineering,D,D,D
electronics_engineering,C,C,C
electronics_engineering,B,B,B
electronics_engineering,D,D,D
electronics_engineering,D,D,D
electronics_engineering,B,C,C
electronics_engineering,C,C,C
electronics_engineering,C,B,B
electronics_engineering,B,B,B
electronics_engineering,C,C,C
electronics_engineering,C,C,C
electronics_engineering,D,B,B
electronics_engineering,C,C,C
computer_science,B,B,B
computer_science,A,B,B
computer_science,C,C,C
computer_science,C,C,C
management,C,B,B
management,A,A,A
management,B,D,D
management,D,B,B
computer_science,C,C,C
computer_science,C,C,C
computer_science,D,C,C
computer_science,B,B,B
computer_science,B,B,B
computer_science,C,C,C
computer_science,B,B,B
computer_science,C,C,C
computer_science,D,D,D
computer_science,C,C,C
computer_science,B,B,B
computer_science,D,D,D
marketing,B,B,B
marketing,B,B,B
marketing,C,C,C
marketing,C,C,C
civil_engineering,C,A,A
civil_engineering,D,B,B
civil_engineering,B,D,D
civil_engineering,D,A,A
civil_engineering,B,B,B
civil_engineering,D,D,D
civil_engineering,C,C,C
civil_engineering,C,A,A
civil_engineering,B,B,B
civil_engineering,D,D,D
civil_engineering,D,D,D
civil_engineering,D,D,D
agricultural_sciences,C,C,C
agricultural_sciences,B,B,B
agricultural_sciences,D,D,D
agricultural_sciences,B,B,B
maritime_engineering,D,B,B
maritime_engineering,D,B,B
maritime_engineering,B,B,B
maritime_engineering,B,A,A
psychology,D,D,D
psychology,A,A,A
psychology,D,D,D
psychology,B,B,B
civil_engineering,C,C,C
civil_engineering,B,B,B
civil_engineering,B,B,B
civil_engineering,D,D,D
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,D,D,D
agricultural_sciences,A,B,B
agricultural_sciences,D,C,C
agricultural_sciences,B,B,B
agricultural_sciences,A,A,A
biology,D,D,D
biology,C,C,C
biology,B,B,B
biology,B,B,B
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,C,B,B
maritime_engineering,D,B,B
civil_engineering,B,B,B
civil_engineering,D,D,D
civil_engineering,C,C,C
civil_engineering,C,C,C
psychology,A,A,A
psychology,A,A,A
psychology,D,B,B
psychology,B,B,B
agricultural_sciences,C,C,C
agricultural_sciences,B,B,B
agricultural_sciences,D,D,D
agricultural_sciences,C,C,C
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,D,D,D
maritime_engineering,C,B,B
biology,B,B,B
biology,B,B,B
biology,C,B,B
biology,D,D,D
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,D,D
civil_engineering,C,C,C
civil_engineering,C,C,C
civil_engineering,C,D,D
civil_engineering,D,C,C
psychology,C,C,C
psychology,C,C,C
psychology,D,D,D
psychology,B,B,B
agricultural_sciences,D,D,D
agricultural_sciences,A,A,A
agricultural_sciences,D,D,D
agricultural_sciences,B,B,B
biology,D,B,B
biology,D,B,B
biology,C,C,C
biology,B,B,B
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,C,D,D
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,B,B
civil_engineering,C,C,C
civil_engineering,B,A,A
civil_engineering,C,D,D
civil_engineering,B,B,B
psychology,B,B,B
psychology,B,B,B
psychology,D,D,D
psychology,A,A,A
agricultural_sciences,D,D,D
agricultural_sciences,B,D,D
agricultural_sciences,B,B,B
agricultural_sciences,B,B,B
biology,D,D,D
biology,D,D,D
biology,B,B,B
biology,C,A,A
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,C,D,D
maritime_engineering,C,D,D
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,C,C,C
psychology,D,D,D
psychology,A,A,A
psychology,B,B,B
psychology,D,B,B
civil_engineering,D,D,D
civil_engineering,B,D,D
civil_engineering,D,C,C
civil_engineering,D,D,D
agricultural_sciences,C,C,C
agricultural_sciences,D,D,D
agricultural_sciences,D,B,B
agricultural_sciences,B,B,B
maritime_engineering,D,C,C
maritime_engineering,D,C,C
maritime_engineering,D,C,C
maritime_engineering,D,D,D
electronics_engineering,C,C,C
electronics_engineering,D,D,D
electronics_engineering,C,C,C
electronics_engineering,B,B,B
biology,A,A,A
biology,D,D,D
biology,D,D,D
biology,C,C,C
telecommunications_and_wireless_technology,D,C,C
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,B,B
psychology,C,C,C
psychology,A,A,A
psychology,B,B,B
psychology,C,C,C
agricultural_sciences,D,C,C
agricultural_sciences,B,C,C
agricultural_sciences,A,A,A
agricultural_sciences,C,C,C
civil_engineering,D,D,D
civil_engineering,C,C,C
civil_engineering,C,C,C
civil_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,B,B,B
biology,D,D,D
biology,A,A,A
biology,C,C,C
biology,A,D,D
electronics_engineering,D,B,B
electronics_engineering,C,C,C
electronics_engineering,C,C,C
electronics_engineering,A,A,A
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,B,B,B
psychology,B,B,B
psychology,C,C,C
psychology,D,A,A
psychology,B,B,B
civil_engineering,B,B,B
civil_engineering,B,B,B
civil_engineering,C,C,C
civil_engineering,B,B,B
agricultural_sciences,C,C,C
agricultural_sciences,A,B,B
agricultural_sciences,B,B,B
agricultural_sciences,A,A,A
maritime_engineering,C,D,D
maritime_engineering,D,C,C
maritime_engineering,B,D,D
maritime_engineering,B,C,C
biology,C,C,C
biology,A,A,A
biology,D,D,D
biology,B,D,D
electronics_engineering,D,D,D
electronics_engineering,C,C,C
electronics_engineering,D,D,D
electronics_engineering,C,C,C
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,C,C,C
civil_engineering,D,D,D
civil_engineering,B,D,D
civil_engineering,C,D,D
civil_engineering,D,D,D
psychology,B,B,B
psychology,C,C,C
psychology,B,B,B
psychology,C,C,C
maritime_engineering,D,C,C
maritime_engineering,D,B,B
maritime_engineering,C,B,B
maritime_engineering,B,B,B
biology,B,B,B
biology,D,D,D
biology,D,D,D
biology,B,B,B
electronics_engineering,B,B,B
electronics_engineering,C,A,A
electronics_engineering,B,B,B
electronics_engineering,D,D,D
agricultural_sciences,C,C,C
agricultural_sciences,B,A,A
agricultural_sciences,A,C,C
agricultural_sciences,C,C,C
management,B,B,B
management,D,D,D
management,C,C,C
management,C,D,D
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,D,B,B
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,C,D,D
civil_engineering,C,B,B
civil_engineering,B,B,B
civil_engineering,B,B,B
civil_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,D,B,B
psychology,B,B,B
psychology,C,C,C
psychology,C,C,C
psychology,A,A,A
electronics_engineering,C,C,C
electronics_engineering,D,C,C
electronics_engineering,B,B,B
electronics_engineering,D,C,C
biology,A,A,A
biology,C,C,C
biology,C,D,D
biology,A,A,A
agricultural_sciences,B,B,B
agricultural_sciences,D,A,A
agricultural_sciences,B,B,B
agricultural_sciences,D,D,D
management,D,D,D
management,C,C,C
management,B,B,B
management,C,C,C
maritime_engineering,C,C,C
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,C,D,D
electronics_engineering,D,D,D
electronics_engineering,C,C,C
electronics_engineering,D,D,D
electronics_engineering,D,D,D
civil_engineering,B,B,B
civil_engineering,C,C,C
civil_engineering,B,A,A
civil_engineering,B,C,C
psychology,A,B,B
psychology,D,D,D
psychology,A,A,A
psychology,B,B,B
agricultural_sciences,B,B,B
agricultural_sciences,D,B,B
agricultural_sciences,C,C,C
agricultural_sciences,B,B,B
biology,A,A,A
biology,B,C,C
biology,A,A,A
biology,A,B,B
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,D,D,D
management,B,B,B
management,D,D,D
management,C,C,C
management,A,A,A
maritime_engineering,B,C,C
maritime_engineering,D,D,D
maritime_engineering,B,B,B
maritime_engineering,D,D,D
psychology,A,A,A
psychology,D,D,D
psychology,C,C,C
psychology,C,A,A
civil_engineering,D,B,B
civil_engineering,B,B,B
civil_engineering,C,C,C
civil_engineering,D,C,C
electronics_engineering,C,C,C
electronics_engineering,A,A,A
electronics_engineering,D,D,D
electronics_engineering,D,D,D
agricultural_sciences,D,C,C
agricultural_sciences,B,B,B
agricultural_sciences,D,C,C
agricultural_sciences,C,C,C
computer_science,C,C,C
computer_science,D,D,D
computer_science,D,D,D
computer_science,C,C,C
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,C,C,C
biology,C,C,C
biology,A,A,A
biology,D,D,D
biology,B,B,B
management,B,B,B
management,D,D,D
management,D,D,D
management,C,B,B
maritime_engineering,B,D,D
maritime_engineering,B,B,B
maritime_engineering,D,D,D
maritime_engineering,B,D,D
civil_engineering,B,C,C
civil_engineering,B,B,B
civil_engineering,C,C,C
civil_engineering,B,B,B
psychology,B,B,B
psychology,C,C,C
psychology,B,D,D
psychology,A,C,C
electronics_engineering,C,B,B
electronics_engineering,B,C,C
electronics_engineering,D,D,D
electronics_engineering,C,C,C
agricultural_sciences,D,C,C
agricultural_sciences,D,D,D
agricultural_sciences,C,B,B
agricultural_sciences,C,C,C
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,B,B,B
maritime_engineering,C,B,B
maritime_engineering,A,B,B
maritime_engineering,C,C,C
maritime_engineering,B,B,B
management,A,C,C
management,D,D,D
management,A,A,A
management,C,C,C
civil_engineering,C,C,C
civil_engineering,D,D,D
civil_engineering,C,C,C
civil_engineering,D,D,D
psychology,B,D,D
psychology,D,A,A
psychology,C,C,C
psychology,D,D,D
electronics_engineering,B,B,B
electronics_engineering,D,D,D
electronics_engineering,C,C,C
electronics_engineering,D,D,D
computer_science,B,B,B
computer_science,D,D,D
computer_science,D,C,C
computer_science,B,C,C
agricultural_sciences,D,D,D
agricultural_sciences,A,B,B
agricultural_sciences,C,A,A
agricultural_sciences,C,A,A
telecommunications_and_wireless_technology,B,A,A
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,B,B,B
biology,B,B,B
biology,B,B,B
biology,C,A,A
biology,A,A,A
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,B,B,B
psychology,C,C,C
psychology,A,A,A
psychology,C,C,C
psychology,A,B,B
electronics_engineering,D,D,D
electronics_engineering,D,D,D
electronics_engineering,C,C,C
electronics_engineering,C,C,C
civil_engineering,D,D,D
civil_engineering,C,B,B
civil_engineering,D,D,D
civil_engineering,D,D,D
management,D,D,D
management,D,D,D
management,B,B,B
management,A,A,A
agricultural_sciences,B,B,B
agricultural_sciences,C,C,C
agricultural_sciences,C,A,A
agricultural_sciences,D,D,D
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,C,B,B
telecommunications_and_wireless_technology,D,D,D
computer_science,C,C,C
computer_science,B,B,B
computer_science,D,D,D
computer_science,C,C,C
biology,D,D,D
biology,C,C,C
biology,C,C,C
biology,B,B,B
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,C,C,C
electronics_engineering,C,C,C
electronics_engineering,C,D,D
electronics_engineering,B,B,B
electronics_engineering,B,B,B
psychology,A,A,A
psychology,D,D,D
psychology,C,C,C
psychology,A,A,A
civil_engineering,C,C,C
civil_engineering,D,D,D
civil_engineering,B,B,B
civil_engineering,B,B,B
management,A,C,C
management,A,A,A
management,C,A,A
management,B,B,B
agricultural_sciences,D,D,D
agricultural_sciences,B,B,B
agricultural_sciences,C,A,A
agricultural_sciences,D,D,D
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,C,B,B
computer_science,C,C,C
computer_science,B,D,D
computer_science,C,C,C
computer_science,D,D,D
biology,C,C,C
biology,D,B,B
biology,B,B,B
biology,A,D,D
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,C,B,B
maritime_engineering,C,C,C
civil_engineering,B,B,B
civil_engineering,C,D,D
civil_engineering,D,D,D
civil_engineering,B,B,B
electronics_engineering,C,C,C
electronics_engineering,B,B,B
electronics_engineering,C,C,C
electronics_engineering,C,C,C
psychology,D,D,D
psychology,D,D,D
psychology,C,C,C
taxation,B,B,B
management,C,D,D
management,C,C,C
management,B,B,B
management,C,C,C
agricultural_sciences,A,A,A
agricultural_sciences,D,B,B
agricultural_sciences,B,B,B
agricultural_sciences,B,A,A
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,C,C
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,D,D
computer_science,D,D,D
computer_science,C,C,C
computer_science,B,B,B
computer_science,D,D,D
maritime_engineering,D,C,C
maritime_engineering,D,B,B
maritime_engineering,D,B,B
maritime_engineering,B,B,B
biology,C,B,B
biology,A,A,A
biology,B,D,D
biology,C,C,C
civil_engineering,B,C,C
civil_engineering,B,B,B
civil_engineering,C,C,C
civil_engineering,B,B,B
taxation,B,A,A
taxation,B,B,B
taxation,A,A,A
taxation,D,D,D
management,D,D,D
management,D,D,D
management,B,B,B
management,A,A,A
electronics_engineering,D,D,D
electronics_engineering,B,B,B
electronics_engineering,D,D,D
electronics_engineering,D,D,D
telecommunications_and_wireless_technology,D,B,B
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,B,B
computer_science,B,B,B
computer_science,D,D,D
computer_science,D,D,D
computer_science,D,D,D
agricultural_sciences,A,A,A
agricultural_sciences,B,B,B
agricultural_sciences,C,C,C
agricultural_sciences,B,B,B
maritime_engineering,B,B,B
maritime_engineering,B,B,B
maritime_engineering,C,B,B
maritime_engineering,C,C,C
biology,A,A,A
biology,D,C,C
biology,A,A,A
biology,A,A,A
management,B,B,B
management,A,A,A
management,D,D,D
management,A,A,A
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,B,B
agricultural_sciences,C,C,C
agricultural_sciences,C,C,C
agricultural_sciences,D,D,D
agricultural_sciences,B,B,B
computer_science,D,D,D
computer_science,B,B,B
computer_science,D,D,D
computer_science,B,B,B
maritime_engineering,B,B,B
maritime_engineering,C,C,C
maritime_engineering,B,A,A
maritime_engineering,B,D,D
taxation,B,B,B
taxation,A,A,A
taxation,D,D,D
taxation,A,B,B
electronics_engineering,B,B,B
electronics_engineering,B,A,A
electronics_engineering,C,C,C
electronics_engineering,D,B,B
civil_engineering,D,D,D
civil_engineering,B,C,C
civil_engineering,B,B,B
civil_engineering,C,B,B
biology,C,C,C
biology,A,A,A
biology,A,A,A
biology,B,B,B
management,D,D,D
management,A,A,A
management,D,D,D
management,D,D,D
computer_science,D,D,D
computer_science,C,C,C
computer_science,D,D,D
computer_science,B,B,B
agricultural_sciences,A,B,B
agricultural_sciences,D,D,D
agricultural_sciences,B,B,B
agricultural_sciences,B,B,B
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,D,D
telecommunications_and_wireless_technology,B,B,B
maritime_engineering,D,C,C
maritime_engineering,B,B,B
maritime_engineering,D,A,A
maritime_engineering,B,C,C
taxation,D,D,D
taxation,D,D,D
taxation,D,A,A
taxation,C,D,D
electronics_engineering,B,A,A
electronics_engineering,A,A,A
electronics_engineering,A,A,A
electronics_engineering,B,D,D
civil_engineering,B,B,B
civil_engineering,C,D,D
civil_engineering,B,B,B
civil_engineering,B,B,B
biology,D,D,D
biology,A,A,A
biology,D,D,D
biology,D,D,D
management,B,B,B
management,C,C,C
management,A,A,A
management,A,D,D
agricultural_sciences,C,C,C
agricultural_sciences,D,D,D
agricultural_sciences,A,A,A
agricultural_sciences,B,B,B
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,C,C,C
telecommunications_and_wireless_technology,B,B,B
telecommunications_and_wireless_technology,D,D,D
computer_science,C,C,C
computer_science,D,D,D
computer_science,C,C,C
computer_science,C,C,C
taxation,B,A,A
taxation,C,C,C
taxation,C,C,C
taxation,A,B,B
maritime_engineering,C,C,C
maritime_engineering,C,C,C
maritime_engineering,D,B,B
maritime_engineering,D,D,D
civil_engineering,C,B,B
civil_engineering,B,B,B
civil_engineering,C,A,A
civil_engineering,B,D,D
electronics_engineering,C,D,D
electronics_engineering,C,C,C
electronics_engineering,B,B,B
